week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,log_prob
Seattle,Carolina,Pittsburgh,Houston,New England,Green Bay,Cincinnati,Dallas,NY Giants,Baltimore,Kansas City,Buffalo,Denver,Minnesota,Arizona,Los Angeles,Indianapolis,-4.2358155445186
Seattle,Carolina,Pittsburgh,Houston,New England,Arizona,Cincinnati,Dallas,NY Giants,Baltimore,Kansas City,Buffalo,Denver,Minnesota,Green Bay,San Diego,Indianapolis,-4.235819307995377
Seattle,Carolina,Miami,Houston,New England,Green Bay,Cincinnati,Dallas,Kansas City,Baltimore,Pittsburgh,Buffalo,Denver,Minnesota,Arizona,Los Angeles,Indianapolis,-4.23586678641381
Seattle,Carolina,Miami,Houston,New England,Arizona,Cincinnati,Dallas,Kansas City,Baltimore,Pittsburgh,Buffalo,Denver,Minnesota,Green Bay,San Diego,Indianapolis,-4.2358705498905875
Arizona,Carolina,Seattle,Houston,Pittsburgh,Buffalo,Cincinnati,Dallas,NY Giants,Baltimore,Indianapolis,Green Bay,New England,Denver,Kansas City,Los Angeles,Minnesota,-4.235958375697598
Los Angeles,Carolina,Pittsburgh,Houston,New England,Seattle,Cincinnati,Dallas,Kansas City,Baltimore,Indianapolis,Green Bay,Arizona,Denver,Buffalo,San Diego,Minnesota,-4.236099019982208
Seattle,Carolina,Oakland,Houston,New England,Arizona,Green Bay,Denver,Kansas City,Baltimore,Pittsburgh,Miami,Cincinnati,Minnesota,Buffalo,San Diego,Indianapolis,-4.236106242209137
Seattle,Carolina,NY Giants,Houston,New England,Green Bay,Cincinnati,Dallas,Kansas City,Baltimore,Pittsburgh,Miami,Arizona,Minnesota,Buffalo,San Diego,Indianapolis,-4.23637026534046
Seattle,Carolina,Pittsburgh,Houston,New England,Buffalo,Cincinnati,Dallas,Kansas City,Baltimore,Indianapolis,Miami,Arizona,Denver,Green Bay,Los Angeles,Minnesota,-4.236506507245588
Seattle,Carolina,NY Giants,Houston,New England,Green Bay,Cincinnati,Denver,Kansas City,Baltimore,Pittsburgh,Dallas,Arizona,Minnesota,Buffalo,San Diego,Indianapolis,-4.236621584301981
Seattle,Carolina,Oakland,Houston,New England,Arizona,Cincinnati,Green Bay,Kansas City,Pittsburgh,Detroit,Buffalo,Denver,Minnesota,Baltimore,San Diego,Indianapolis,-4.236635416219887
Seattle,Carolina,Pittsburgh,Houston,New England,Arizona,Green Bay,Dallas,San Diego,Baltimore,Indianapolis,Buffalo,Cincinnati,Denver,Kansas City,Los Angeles,Minnesota,-4.236700736467884
