week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,log_prob
Kansas City,San Francisco,Cincinnati,LA Chargers,Tampa Bay,Green Bay,Denver,Philadelphia,Buffalo,LA Rams,New England,Miami,Minnesota,Dallas,New Orleans,Baltimore,Indianapolis,Tennessee,-4.497650556674068
San Francisco,LA Rams,Cincinnati,LA Chargers,Tampa Bay,Green Bay,Las Vegas,Dallas,Philadelphia,Kansas City,New England,Miami,Minnesota,Buffalo,Carolina,Baltimore,Indianapolis,Tennessee,-4.497681755103316
Denver,LA Rams,LA Chargers,Philadelphia,Tampa Bay,San Francisco,Cincinnati,Dallas,Green Bay,Kansas City,New England,Miami,Minnesota,Buffalo,New Orleans,Baltimore,Washington,Tennessee,-4.497686983209748
Indianapolis,LA Rams,Cincinnati,LA Chargers,Tampa Bay,Green Bay,Denver,Philadelphia,Buffalo,Carolina,New England,Miami,Minnesota,Dallas,New Orleans,Baltimore,Kansas City,Tennessee,-4.497727122864026
Indianapolis,LA Rams,Cincinnati,LA Chargers,Tampa Bay,Green Bay,Las Vegas,Dallas,Philadelphia,Kansas City,New England,Miami,Minnesota,Buffalo,Denver,Baltimore,Detroit,Tennessee,-4.497732339314873
San Francisco,Denver,LA Chargers,Philadelphia,Tampa Bay,Green Bay,Cincinnati,Dallas,Buffalo,Carolina,New England,Miami,Minnesota,LA Rams,Kansas City,Tennessee,Baltimore,Cleveland,-4.497742772615036
San Francisco,LA Rams,LA Chargers,Philadelphia,Tampa Bay,Green Bay,Denver,Dallas,Buffalo,Carolina,New England,Miami,Minnesota,Cincinnati,New Orleans,Baltimore,Indianapolis,Tennessee,-4.49775433428239
San Francisco,LA Rams,LA Chargers,Cleveland,Tampa Bay,Green Bay,Denver,Dallas,Cincinnati,Kansas City,New England,Miami,Minnesota,Buffalo,Philadelphia,Tennessee,Baltimore,New Orleans,-4.497791818583102
San Francisco,LA Rams,Cincinnati,Cleveland,Tampa Bay,Green Bay,Denver,Dallas,LA Chargers,Kansas City,New England,Miami,Minnesota,Buffalo,New Orleans,Baltimore,Seattle,Tennessee,-4.49779321536062
Indianapolis,San Francisco,LA Rams,Philadelphia,Tampa Bay,Green Bay,Denver,Dallas,LA Chargers,Kansas City,New England,Miami,Minnesota,Buffalo,New Orleans,Baltimore,Seattle,Tennessee,-4.497794018073272
Indianapolis,LA Rams,LA Chargers,Cleveland,Tampa Bay,Green Bay,Cincinnati,Philadelphia,Buffalo,Kansas City,New England,Washington,Minnesota,Dallas,Denver,Baltimore,Seattle,Miami,-4.497801556513805
Indianapolis,LA Rams,LA Chargers,Philadelphia,Tampa Bay,San Francisco,Cincinnati,Tennessee,Buffalo,Kansas City,New England,Miami,Green Bay,Dallas,New Orleans,Baltimore,Seattle,Minnesota,-4.497810273601666
Indianapolis,LA Rams,LA Chargers,Philadelphia,Tampa Bay,San Francisco,Denver,Dallas,Buffalo,Kansas City,New England,Miami,Green Bay,Tennessee,New Orleans,Baltimore,Seattle,Minnesota,-4.497813778576968
Indianapolis,San Francisco,LA Chargers,Philadelphia,Tampa Bay,Green Bay,Cincinnati,Denver,Buffalo,LA Rams,New England,Miami,Minnesota,Dallas,Kansas City,Baltimore,Detroit,Tennessee,-4.497815521750056
San Francisco,Denver,LA Chargers,Cleveland,Tampa Bay,Green Bay,Las Vegas,Philadelphia,Buffalo,Kansas City,New England,Miami,Minnesota,Dallas,New Orleans,Baltimore,Indianapolis,Tennessee,-4.4978318711840615
San Francisco,LA Rams,Cincinnati,LA Chargers,Tampa Bay,Green Bay,Las Vegas,Dallas,Philadelphia,Kansas City,Baltimore,Miami,Minnesota,Buffalo,Denver,Carolina,Indianapolis,Tennessee,-4.497874133572574
Indianapolis,San Francisco,LA Chargers,Philadelphia,Tampa Bay,Green Bay,Cincinnati,Dallas,Buffalo,Carolina,New England,Miami,Minnesota,LA Rams,Denver,Kansas City,Baltimore,New Orleans,-4.4978786975576845
San Francisco,LA Rams,LA Chargers,Philadelphia,Tampa Bay,Indianapolis,Cincinnati,Dallas,Green Bay,Kansas City,New England,Buffalo,Minnesota,Tennessee,Denver,Baltimore,Seattle,Miami,-4.4979294865982045
Indianapolis,San Francisco,LA Chargers,Philadelphia,Tampa Bay,Green Bay,Denver,Dallas,Cincinnati,Kansas City,New England,Miami,Minnesota,Buffalo,New Orleans,Tennessee,Baltimore,Cleveland,-4.497946771383471
